;EAGID;EAGCode;BakjeID;Laagvolgorde;ClusterType;ReeksType;ParamType;Waarde;WaardeAlfa;StartDag;EAGReeksWaardeID;BakjeReeksWaardeID;LaagReeksWaardeID
0;16088;2501-EAG-1;15412;-9999;Inlaat;Flux;ValueSeries;11,930801352157487;;01-04;18367;-9999;-9999
1;16088;2501-EAG-1;15412;-9999;Inlaat;Flux;ValueSeries;5,965400676078743;;01-10;18368;-9999;-9999
4;16088;2501-EAG-1;-9999;-9999;Peil;Flux;FEWS;;Statistiek|99999T010_West|H.meting.gem|-999.0;;18426;-9999;-9999
5;16088;2501-EAG-1;15412;-9999;ClVerhard;Cl;;10;;;-9999;74;-9999
6;16088;2501-EAG-1;15412;-9999;ClRiolering;Cl;;100;;;-9999;75;-9999
7;16088;2501-EAG-1;15412;-9999;ClDrain;Cl;;70;;;-9999;76;-9999
8;16088;2501-EAG-1;15412;-9999;ClUitspoeling;Cl;;70;;;-9999;77;-9999
9;16088;2501-EAG-1;15412;-9999;ClAfstroming;Cl;;35;;;-9999;78;-9999
10;16088;2501-EAG-1;15406;2;Qkwel;Flux;Constant;0;;;-9999;-9999;7212
11;16088;2501-EAG-1;15407;1;Qkwel;Flux;Constant;0,0871853139;;;-9999;-9999;7213
12;16088;2501-EAG-1;15408;2;Qkwel;Flux;Constant;0;;;-9999;-9999;7214
13;16088;2501-EAG-1;15409;1;Qkwel;Flux;ValueSeries;-0,1225328104;;01-04;-9999;-9999;7215
14;16088;2501-EAG-1;15409;1;Qkwel;Flux;ValueSeries;-0,1633770806;;01-10;-9999;-9999;7216
15;16088;2501-EAG-1;15410;2;Qkwel;Flux;Constant;0;;;-9999;-9999;7217
16;16088;2501-EAG-1;15411;1;Qkwel;Flux;ValueSeries;-0,5343953994;;01-04;-9999;-9999;7218
17;16088;2501-EAG-1;15411;1;Qkwel;Flux;ValueSeries;-0,7125271992;;01-10;-9999;-9999;7219
18;16088;2501-EAG-1;15412;1;Qkwel;Flux;Constant;0,0508394381;;;-9999;-9999;7220
19;16088;2501-EAG-1;15412;1;Qkwel;Cl;;400;;;-9999;-9999;7221
20;16088;2501-EAG-1;15412;1;Qwegz;Flux;Constant;0,1190455372;;;-9999;-9999;7222
